@relation twit_classification

@attribute average-len-sent numeric
@attribute 3person numeric
@attribute commas numeric
@attribute uppercase numeric
@attribute hashtags numeric
@attribute adverbs numeric
@attribute numbers numeric
@attribute emoticons numeric
@attribute coord_conj numeric
@attribute multipleexclaimation numeric
@attribute 2person numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute average-len-tokens numeric
@attribute dashes numeric
@attribute colons-semicolons numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute 1person numeric
@attribute slang numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute mentions numeric
@attribute future-tense numeric
@attribute class {Obama, Colbert, Ashton, Kardashian, NeilDT, Shakira}

@data
2,0,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,4.6,3.85,5,0,2,0,0,0,Kardashian
2,0,1,0,1,0,0,0,0,0,0,5,2,4,0,1,0,3.66666666667,3.78571428571,9,0,5,0,0,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,8.66666666667,4.47826086957,3,0,2,0,0,1,Kardashian
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,6.0,1,0,1,0,2,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,24.0,3.84210526316,1,0,1,0,0,2,Kardashian
0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,6.66666666667,5.58823529412,3,0,1,0,4,0,Kardashian
0,1,0,0,0,0,0,0,0,0,1,3,0,2,1,1,0,6.0,3.2,3,0,1,0,0,0,Kardashian
3,2,0,1,0,1,3,0,0,0,0,8,1,0,0,2,0,32.0,3.41666666667,1,0,1,0,0,2,Kardashian
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.0,5.33333333333,1,0,1,0,1,1,Kardashian
2,0,3,0,1,0,1,0,0,0,0,4,2,5,0,2,0,5.6,3.82608695652,5,0,3,0,0,0,Kardashian
1,0,2,1,2,0,0,0,0,0,0,5,0,0,0,0,0,3.57142857143,3.95238095238,7,0,3,1,1,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.33333333333,4.5,3,0,2,0,0,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.0,3.2,1,0,1,0,0,0,Kardashian
1,1,0,0,0,0,0,1,0,0,0,5,0,1,0,2,1,2.8,4.72727272727,5,0,2,0,2,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,10.0,5.55555555556,1,0,1,0,1,0,Kardashian
1,0,0,2,1,0,0,0,0,0,0,2,2,1,0,1,1,4.33333333333,3.66666666667,3,0,1,0,0,0,Kardashian
3,0,0,0,2,0,0,0,0,0,0,5,0,2,0,0,0,7.33333333333,3.94117647059,3,0,2,0,1,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,1,4.4,5.0,5,0,3,0,0,0,Kardashian
1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8.0,3.83333333333,1,0,1,0,1,1,Kardashian
1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,3.28571428571,6.35294117647,7,0,4,2,2,0,Kardashian
0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,5.85714285714,1,0,0,0,2,0,Kardashian
3,0,0,1,3,0,0,0,0,0,0,2,0,1,2,1,1,3.2,4.07692307692,5,0,3,0,1,0,Kardashian
0,1,2,0,1,0,0,0,0,0,0,5,3,0,1,1,0,3.42857142857,3.21052631579,7,0,4,0,0,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.0,4.0,1,0,1,0,0,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3.66666666667,5.66666666667,3,0,1,1,0,1,Kardashian
1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6.0,4.8,1,0,1,0,1,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,13.0,5.27272727273,1,0,1,0,0,1,Kardashian
0,1,0,0,0,1,0,0,0,0,0,7,1,0,0,1,1,4.6,3.89473684211,5,0,2,0,2,1,Kardashian
1,0,0,0,0,0,0,1,1,0,1,10,1,0,0,0,1,5.6,5.26315789474,5,0,0,0,3,0,Kardashian
0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,7.33333333333,4.75,3,0,2,0,1,2,Kardashian
1,1,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,4.6,4.66666666667,5,0,1,0,0,0,Kardashian
1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,11.0,4.4,1,0,0,0,1,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.2,1,0,1,0,1,0,Kardashian
3,0,1,0,2,0,0,0,0,0,0,6,1,1,0,0,0,8.33333333333,4.55,3,0,2,0,2,1,Kardashian
1,0,0,1,2,0,1,0,0,0,0,5,4,1,0,1,0,10.3333333333,3.85714285714,3,0,1,0,0,1,Kardashian
1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,3.0,4.1,5,0,3,0,1,2,Kardashian
2,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,1,5.0,4.94444444444,5,0,1,0,0,2,Kardashian
1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,8.0,3.5,1,0,1,0,1,0,Kardashian
1,0,0,0,0,0,0,1,0,0,0,6,3,1,0,1,1,3.57142857143,4.66666666667,7,0,4,0,2,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,7.5,1,0,1,0,0,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,1,5.2,4.0,5,0,2,0,0,0,Kardashian
2,0,0,0,1,0,0,0,0,0,0,7,1,1,1,0,0,4.42857142857,4.24,7,0,3,0,0,0,Kardashian
2,1,0,0,0,1,0,0,0,0,0,7,2,2,0,1,0,5.2,4.63636363636,5,0,2,1,1,1,Kardashian
3,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,2.8,4.25,5,0,2,0,1,0,Kardashian
0,0,0,0,0,0,0,1,0,0,0,6,3,1,0,1,2,6.0,5.8,3,0,1,0,4,0,Kardashian
1,2,2,0,5,0,0,0,0,0,0,3,1,2,1,3,0,3.28571428571,3.21052631579,7,0,4,0,0,0,Kardashian
0,1,1,0,0,1,0,1,0,0,0,7,1,3,0,0,1,4.8,4.83333333333,5,0,3,0,2,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,5.0,1,0,0,0,0,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5.0,8.33333333333,1,0,1,0,1,1,Kardashian
2,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,14.0,3.81818181818,1,0,1,0,0,0,Kardashian
0,1,0,0,3,0,1,2,0,0,1,6,0,1,0,2,2,2.85714285714,5.07142857143,7,0,1,0,2,0,Kardashian
1,0,0,1,0,0,0,0,0,0,0,6,4,0,0,0,1,4.66666666667,5.33333333333,3,0,2,0,1,0,Kardashian
1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5.66666666667,4.13333333333,3,0,2,0,0,0,Kardashian
