@relation twit_classification

@attribute average-len-sent numeric
@attribute 3person numeric
@attribute commas numeric
@attribute uppercase numeric
@attribute hashtags numeric
@attribute adverbs numeric
@attribute emoticons numeric
@attribute coord_conj numeric
@attribute multipleexclaimation numeric
@attribute 2person numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute average-len-tokens numeric
@attribute dashes numeric
@attribute colons-semicolons numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute 1person numeric
@attribute slang numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute mentions numeric
@attribute future-tense numeric
@attribute class {Popstarts, News}

@data
0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,10.0,4.88888888889,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,5.0,4.8,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,5.25,1,0,0,0,0,News
0,0,0,0,2,0,0,0,0,0,0,6,6,0,0,0,0,7.0,4.77777777778,3,0,0,2,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7.0,5.57142857143,1,0,0,0,0,News
0,0,0,0,0,0,1,1,0,0,0,4,3,0,0,0,2,13.0,5.7,1,0,0,0,0,News
0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,8.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9.0,6.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,10.0,4.55555555556,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,10.0,4.77777777778,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,10,3,2,0,0,1,4.4,5.27777777778,5,0,0,3,1,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,6.0,1,0,0,0,0,News
0,0,0,1,0,0,1,1,0,0,0,4,2,0,0,0,2,16.0,4.54545454545,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6.0,4.66666666667,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,7.0,7.66666666667,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,7.0,5.0,1,0,0,0,0,News
0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,9.0,5.125,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8.0,5.0,1,0,0,2,0,News
0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,2.0,4.25,5,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5.0,7.4,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5.0,5.4,1,0,0,0,0,News
0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,0,8.0,4.71428571429,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,7.0,5.42857142857,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5.0,7.0,1,0,0,0,0,News
0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,1,10.0,4.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.0,6.5,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,9.0,5.125,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6.0,5.4,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,7.5,1,0,0,0,0,News
0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,6.0,5.2,3,0,0,1,0,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,5.6,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7.0,6.0,1,0,0,0,0,News
0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,8.0,5.375,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.85714285714,1,0,0,0,0,News
0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,8.0,6.28571428571,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,11.0,4.18181818182,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,8.0,4.75,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,7.0,4.28571428571,1,0,0,0,0,News
0,0,0,0,1,0,1,1,1,0,0,5,5,0,0,0,1,17.0,4.35714285714,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,8.0,5.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7.0,6.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,10.0,5.75,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,6.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,5.85714285714,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,5.0,5.4,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,10.0,7.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,7.0,4.42857142857,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,10.0,6.22222222222,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,9.0,5.125,1,0,0,0,0,News
0,1,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,11.0,5.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5.0,4.6,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6.0,6.16666666667,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,7.0,5.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,9.0,4.5,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,7.0,8.16666666667,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.0,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,7.0,5.83333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,9.0,5.0,1,0,0,0,0,News
0,0,0,0,2,1,0,1,0,0,0,3,6,0,0,0,2,3.85714285714,4.04761904762,7,0,0,1,0,News
0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,6.0,5.8,1,0,0,0,0,News
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3.33333333333,6.875,3,0,1,0,1,News
0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,10.0,5.77777777778,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,6.0,7.83333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.0,1,0,0,0,0,News
0,0,1,0,0,0,0,0,3,0,0,9,2,3,0,2,0,6.2,3.88461538462,5,0,0,2,0,News
0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,2.2,3.88888888889,5,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,7.0,4.33333333333,1,0,0,0,0,News
0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,8.0,3.85714285714,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,10.0,4.5,1,0,0,0,0,News
0,0,0,1,1,0,0,0,1,0,0,7,3,0,0,0,2,16.0,4.66666666667,1,0,0,2,0,News
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7.0,5.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,5.875,1,0,0,0,0,News
0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,0,1,14.0,5.5,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,11.0,5.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,9.0,6.66666666667,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,9.0,6.375,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11.0,6.27272727273,1,0,0,0,0,News
