@relation tweet_feets

@attribute proper-nouns numeric
@attribute colons-semicolons numeric
@attribute 3person numeric
@attribute commas numeric
@attribute coord_conj numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute 2person numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute adverbs numeric
@attribute future-tense numeric
@attribute average-len-tokens numeric
@attribute 1person numeric
@attribute dashes numeric
@attribute class {Popstarts, News}

@data
0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,10,4,1,News
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,5,4,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,4,1,News
0,0,0,0,2,0,0,0,0,0,0,6,6,0,0,0,0,7,4,3,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,5,1,News
0,0,0,0,0,0,1,1,0,0,0,4,3,0,0,0,2,13,4,1,News
0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,8,5,1,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,1,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9,5,1,News
0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,10,4,1,News
0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,10,4,1,News
0,0,0,0,0,0,0,1,0,0,0,11,3,2,0,0,1,4,4,5,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,6,1,News
0,0,0,1,0,0,1,1,0,0,0,4,2,0,0,0,2,16,3,1,News
0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,4,1,News
0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,7,6,1,News
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,7,5,1,News
0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,9,4,1,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,5,1,News
0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,2,3,5,News
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,7,1,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,5,1,News
0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,0,8,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,7,5,1,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,7,1,News
0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,1,10,3,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6,6,1,News
0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,9,4,1,News
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,1,News
0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,6,4,3,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,5,1,News
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7,6,1,News
0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,8,5,1,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,1,News
0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,8,5,1,News
0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,11,4,1,News
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,8,4,1,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,7,4,1,News
0,0,0,0,1,0,1,1,1,0,0,5,5,0,0,0,1,17,3,1,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,8,5,1,News
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7,6,1,News
0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,10,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7,6,1,News
